book_title,reviewer_name,review_score,review_summary,review_text,review_date
French Made Simple: Learn to speak and understand French quickly and easily,Mache,5,french made simple,after searching for a french manual our teacher a french native recommended this book. The 9 students in the class love this book. We are making steady progress in class. the answers in the back of the book are a great addition.The price was right. Would be a great addition to any one learing french.,2023-01-01
Programming Jabber: Extending XML Messaging (O'Reilly XML),Julian Missig,5,DJ delivers an excellent primer into the world of Jabber,"As a disclaimer, I have been involved with Jabber for 3 years, am the author of one of the more popular Jabber clients for linux, and am a friend of DJ's.Jabber finally has its Bible. DJ has written an excellent introduction into the world of Jabber, covering everything a programmer would need to become familiar with the protocol for this Open instant messaging system. He covers everything from the basics of what exactly Jabber is, how to deal with presence, messages, and basic extensions, all the way up to complicated and unfinished extensions such as XML-RPC. Anyone programming Jabber needs this as a reference, and anyone looking to get started in the Jabber world need not look further than this book.",2023-01-01
Lochs & Glens of Scotland,"J. Simpson ""sfraziera""",4,A Close Look at the Land of Scotland - but no maps,"Excelent Photography and text presenting Scotland's back country. This book reviews Scotland by area. It is almost a travel log -- but is not -- in that it looks at sections of Scotland area by area with appropriate landscape photography as well as pictures of special features (buildings, monuments, water falls, ruins, and even trees).The one major problem with this book is that there are no maps. My wife was very frustrated reading the book because she could not figure out where some of the places were, and our maps did not list the locations being described.",2023-01-01
Pasquale's Nose: Idle Days in an Italian Town,Tuscanwino,5,The place is for real...,"Having read and greatly enjoyed this story, I later found myself at Sutri enroute from Rome to Tuscany. My wife and I stopped to stretch our legs and see the town. It is as described, and so are the people. When Michael's name and/or book were mentioned, most people rolled their eyes (lovingly). This book made a visit to Sutri infinitely more enjoyable, and made it a special place among places on the Via Cassia (SS2).",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,Guangy,4,Good enough for me,"too much English but for a beginner like me without any proper class or instruction, it's a fair start. Adequate enough to learn on the go.",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,Shanda Needham,3,Not so simple,"This book is informative, but I think the title is misleading. I'm finding I have to study it and look for answers, and use an online pronunciation guide. I have a good idea I'm pronouncing words right, but I am not sure. And I do find out some things in later chapters about spelling, grammar, and pronounciation, that would have been helpful to know earlier. I agree with their ""learn to understand French"" description of the book more than their ""learn to speak French quickly and easily"" description. I think at this point in time (I'm on chapter 7 out of 40) it will take me a long time to know French enough to speak it well. If not for the little bit of French schooling that I had from elementary and middle school years ago, I don't think I would be doing well with this book. Not for the beginner, in my opinion.",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,Ed Flaspoehler,5,"Thorough, but not for total beginners.","I used this book for my review of French in preparation for a recent trip to Paris. I found it very well organized and thorough.I took it to work with me each day on the train and was able to review a dialogue and chapter in a day or so over the course of about three months. It was very up to date, and covered the material logically and clearly. And the dialogues were consistently interesting and entertaining.However, in spite of what the cover says, this is not a book for total beginners. I was fortunate that I already had a firm foundation in pronunciation, vocabulary and basic French grammar. But this book dives in quickly, and beginners would probably not find it so easy and should probably look elsewhere.However, if you have already studied French in high school or college, and a quick review of the basics is what you are looking for, I am sure that you will find this book to be what you are looking for.What I need now is a good review of Italian, for my yet to be planned trip to Rome and tour of Italy!",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,J. Larson,3,Questions,"The pronunciation section is great, the exercises aren't bad, and the advice given seems practical and clear and generally decent. The stories aren't that great, but the narrative format and practice sentences seem to help me remember vocabulary pretty well.",2023-01-01
Economics and the Theory of Games,X,5,My favorite game theory book,"I am a PhD student at Cornell studying game theory, and this is by far my favorite non-cooperative game theory book. It's written at a similar level as Fudenberg and Tirole's book but with better examples, explanations, and organization. These strengths make it a very good book to learn advanced game theory. Additionally, it covers popular recent topics such as evolutionary game theory and networks in more detail than in other advanced books (F&T;, Osborne & Rubinstein, Myerson, etc.).With that said, it is not an easy book, requiring strong math skills, etc. If you are looking for a simple introduction, check out the books by Gibbon or Gintis.",2023-01-01
French Made Simple: Learn to speak and understand French quickly and easily,Miguel,5,An easy book to learn quickly the french language,"This is one the best books that I've consulted to learn French. I like it, I know more than before, but everything depend of you. If you are interesting you'll learn a lot.",2023-01-01
Creating Commands on the As/400,carlos buitrago,5,agil,quisiera saber el por que no esta en la libreri,2023-01-01
